Timestamp,Location,Latitude,Longitude,pH,BOD_avg,DO_avg,Conductivity_avg,Turbidity,Pollution_Level
Apr 7 2025 10:00,"KOLLERU LAKE KOKKIRAYALANKA (V), KAILALUR (M)",16.65,81.2167,7.5,2.4,4.85,2702.5,16.05,High
Apr 7 2025 10:00,"KONDAKARLA-AAVA LAKE, PARAWADA PHARMA CITY, VISHAKHAPATNAM",17.600852,82.9981,7.35,3.25,4.9,889,17.16,High
Apr 7 2025 10:00,"PULICATE LAKE , NELLORE DIST",13.5595,80.1715,7.7,2.6,5.1,42450,55.91,High
Apr 7 2025 10:00,"CHENGAMBAKAM TANK IN SRI CITY SEZ,
TIRUPATHI",,,7.1,1.75,5.8,328,9.52,Medium
Apr 7 2025 10:00,"ANNAMAYYA PROJECT ON CHEYYERU
RESERVOIR",14.2017,79.0208,7.65,1.65,5.95,615,10.44,High
Apr 7 2025 10:00,ANUMANAPALLE CHERUVU,,,8.05,1.7,7.15,239,6.86,Medium
Apr 7 2025 10:00,BRAMHASAGAR,21.0278,72.6565,7.5,1.6,5.75,494.5,10.60,High
Apr 7 2025 10:00,DALI TANK,,,7.8,2,5.75,9612,21.05,High
Apr 7 2025 10:00,GACCHAKAYALA PORA (LAGOON),,,7.85,2.5,5.85,34565,46.22,High
Apr 7 2025 10:00,GANGINENI CHERUVU,13.2054,79.1002,7.35,2.85,4.8,1064,15.20,High
Apr 7 2025 10:00,INTERU SWAMPS,16.2667,81.2333,7.6,2.6,6.8,21485,32.20,High
Apr 7 2025 10:00,KATTAMANCHI CHERUVU,,,7.45,2.5,4.95,1018,15.45,High
Apr 7 2025 10:00,KRISHNA MANGROVES,15.475,80.8583,7.55,2.6,5.65,29250,41.19,High
Apr 7 2025 10:00,MID PENNAR RESERVOIR,14.8708,77.4094,7.45,1.35,5.8,453,9.63,Medium
Apr 7 2025 10:00,NAUPADA SWAMPS,18.5667,84.3,84.3,2.95,5,29415,44.52,High
Apr 7 2025 10:00,P .S. CHINNAIAH PALEM,,,7.5,2.8,6.9,900,12.32,High
Apr 7 2025 10:00,PATATEKALLI CHERUVU,,,7.75,11.75,6,26685.5,66.22,High
Apr 7 2025 10:00,PATHAKOTHA CHERUVU,,,7.6,2.4,5.35,1316.5,13.38,High
Apr 7 2025 10:00,PEDDA CHERUVU,17.4211,78.5554,7.15,27.95,3.9,1035,93.72,High
Apr 7 2025 10:00,SANGAMESWARA BACKWATERS,,,7.35,1.95,5.75,783.5,10.48,High
Apr 7 2025 10:00,SOMASILA BACK WATER,14.4894,79.3053,7.55,1.4,5.85,637.5,8.83,Medium
Apr 7 2025 10:00,TATIPUDI RESERVOIR,18.1716,83.1939,7.6,1.8,6.05,304,9.79,Medium
Apr 7 2025 10:00,UPPALANKA MUDFLATS,,,7.5,3.8,5.15,20165,37.21,High
Apr 7 2025 10:00,UPPALAPADU TANK,,,7.7,3.5,7,789,13.06,High
Apr 7 2025 10:00,YERRAKALUVA RESERVOIR,17.1506,81.6636,7.55,2.1,5.2,680,13.29,High
Apr 7 2025 10:00,"BORBEEL NO. 1 , RAM NAGAR, DIGBOI,
PUBLIC WATER SUPPLY, TINSUKIA",,,7.75,2.35,1,280,21.08,High
Apr 7 2025 10:00,"BORDOIBAM BEELMUKH BIRD
SANCTUARY, DHEMAJI",27.33,94.33,7.35,2.35,6.15,193.5,11.86,High
Apr 7 2025 10:00,"BORSOLA BEEL, SARABBHATTI,
GUWAHATI",26.1681,91.7464,7.55,26.4,3.3,461,88.26,High
Apr 7 2025 10:00,"DALONI BEEL NEAR JOGIGHOPA, ASSAM",26.22646,90.57247,7.4,2.1,5,73.5,12.09,High
Apr 7 2025 10:00,"DEEPAR BEEL AT BORAGAON NEAR
IASST, GUWAHATI, ASSAM",,,7.5,3.5,7.7,222,10.36,High
Apr 7 2025 10:00,"DEEPAR BEEL, ASSAM",26.1177,91.6494,7.5,3.7,7.5,220.5,12.49,High
Apr 7 2025 10:00,"DIPLAI BEEL AT SILGARA, KOKRAJHAR",26.2681,90.2667,7.3,2.45,4.85,81,14.21,High
Apr 7 2025 10:00,"HOLUDUNGA BEEL NEAR GAI NADI/
RIVER AT SOMARAJAN, DHEMA JI",,,7.3,2.4,6.3,107,10.46,High
Apr 7 2025 10:00,"KAMALABARI LAKE INSIDE KAMALABARI
CHILDREN,S PARK, GELEKY",,,7.2,2.2,6.5,69,9.16,Medium
